TIMESTAMP,TA,VPD,PPFD,LE,H,SW,NETRAD,NEE,SWVL1,STL1,SSRD,STRD,LAI,Evavt,SWVL2,SWVL4,STL2,STL4,STL3,SWVL3,Rain
2002-01-01,,,,,,,,,0.4502977199587361,300.9248224467718,6322791.142285343,19361483.204427432,3.0639151170984635,-3.8945325174662974e-05,0.41445338626516265,0.3987206167533026,301.0789178970479,300.8231816941267,301.2733442170995,0.31038781913824737,0.375
2002-01-02,,,,,,,,,0.45616031185983813,300.2835491557371,5993376.491990677,19069927.032022,3.0614526310213868,-4.903265483217036e-05,0.4271948145430516,0.3984965506328905,300.72274374361194,300.83010411136996,301.21438895474427,0.31212815682036815,0.5
2002-01-03,23.763,0.708,84.0490416667,42.6066,12.8354,43.705,,5.8998,0.46649487364656816,298.96773739056187,2733757.5864494476,19384310.399644032,3.05899014494431,-4.11406614146606e-05,0.46190203996308127,0.39832555280415494,300.07835448722335,300.83565716694983,301.11110709705645,0.3260043029840828,45.5
2002-01-04,25.098,3.138,260.241130435,46.664,15.7407,131.087,,2.16893,0.4723864494194647,298.6092479456418,2562789.21244958,19027157.522829812,3.056527658867233,-2.7956625710587155e-05,0.4675530183148468,0.39825506310359465,299.2708512366563,300.8386647220143,300.91891425418675,0.34523994195179314,28.25
2002-01-05,25.076,2.597,314.081166667,46.0852,25.6475,163.322,,2.14902,0.4717494080706479,299.0892794327153,4514616.929803734,19169363.851305556,3.0540651727901564,-2.2328072029571263e-05,0.4706581944250699,0.3981768007744555,299.2640843405607,300.83825307341607,300.7125895846355,0.36172644637342377,39.75
2002-01-06,23.531,0.636,148.533625,19.8855,-1.831,77.237,,3.63906,0.4509317421542409,298.8544173100836,4681094.044760051,19095410.149650965,3.0516026867130797,-3.245145647934143e-05,0.47022844265481667,0.39809049779506234,299.38211172777756,300.8346574489256,300.55641297931857,0.38443979540007295,12.875
2002-01-07,23.793,1.311,230.706416667,47.0099,7.1248,119.967,,2.39846,0.4639023266976155,298.7939938356961,4367524.0220948635,19116336.986589756,3.049209608944548,-3.691824463189139e-05,0.46623680887614305,0.39807173627780296,299.1232068244013,300.8281424797846,300.4079936453641,0.40158281841570864,13.875
2002-01-08,23.067,1.647,296.84175,67.4804,16.0853,154.358,,1.16348,0.46325502022753806,298.4478274033832,2764845.7810185645,19033866.016509313,3.046750140620017,-3.1029295228977947e-05,0.4690993978348701,0.39808728153496076,299.19561763340414,300.8197078840173,300.2827055103064,0.4150106104176638,26.5
2002-01-09,25.817,6.833,457.889833333,82.5498,25.1778,238.103,,2.66747,0.4480161458009119,299.0897262784585,6878638.711348195,18643376.734243363,3.044357062851485,-3.2767937433647675e-05,0.4623272489027821,0.39836950835887697,298.84682960563225,300.8086857827755,300.12847408179636,0.4340629935176708,14.75
2002-01-10,25.083,6.611,466.264173913,87.4776,30.9922,235.911,,1.17277,0.4641414436399202,299.29383548405184,4818853.8156460775,19178590.89210023,3.041828186218409,-3.3232643645034036e-05,0.4619408054504614,0.39862520103695487,299.55656710675584,300.79611369854666,300.0632286332366,0.4345860733730569,0.625
2002-01-11,25.34,4.265,376.164714286,73.9255,13.1196,189.12,,0.88561,0.4594819843336215,299.3816654973563,4842111.525116958,18923965.77875636,3.0393626823887865,-3.753518218838708e-05,0.4619450454256436,0.3988897384303122,299.41063533844255,300.78255029728535,300.01631003121906,0.43625939515533796,0.125
2002-01-12,24.781,3.63,435.051583333,77.985,29.5138,226.227,,1.42662,0.4652980812737198,299.6540825222285,6952836.314283294,18996591.51920477,3.0369001963117097,-3.252757215189611e-05,0.4689185931788862,0.39911407257239945,299.61710655970654,300.7688902846183,299.9869823895784,0.43757213581281773,0.125
2002-01-13,24.873,4.058,281.512625,55.5561,9.69125,146.387,,3.62473,0.46227288965516783,298.9379476743478,4984913.527345558,18974153.553996876,3.034507118543178,-4.1409069312616474e-05,0.4743400071600725,0.39955389614129455,299.4431867306253,300.7547430144269,299.9733333417187,0.45079176338252736,2.25
2002-01-14,24.71,2.895,385.488541667,51.9945,22.2437,200.454,,2.14779,0.45138008642106225,299.1574879529401,6059359.598831251,18891155.978610534,3.032047650218647,-4.2206280830425865e-05,0.46368767522552884,0.40075624137594607,299.2981921746319,300.74067975415346,299.92308215967785,0.46065703759388804,38.625
2002-01-15,23.878,2.769,279.37475,42.3766,14.1758,145.275,,1.35449,0.459849113376352,298.92601192805137,5635378.066667907,18856789.258429874,3.0296545724501147,-3.123761180649602e-05,0.4695130982705051,0.4024321809105596,299.2340879676787,300.72519252576996,299.8774619045893,0.4683241309843999,39.25
2002-01-16,22.785,1.996,89.78175,56.4506,21.7517,46.687,,6.9051,0.4597011748640674,298.81224500182987,4764942.010993189,18892300.772753794,3.014979241821653,-2.296504002621293e-05,0.46374612631196915,0.4049175459040781,299.0971768679446,300.70950787407907,299.8235875377972,0.47238304088265665,37.0
2002-01-17,24.834,4.726,462.417083333,71.9362,32.734,240.457,,0.773061,0.4546540562725172,298.919646858687,4580850.478598409,18967742.706794623,2.9997697689926497,-2.9683249651169224e-05,0.4568855436117953,0.40685775481037384,299.06086546919266,300.6932645564335,299.7686585570736,0.47256422103664814,21.125
2002-01-18,26.297,6.792,473.367541667,79.8678,31.8564,246.151,,2.11378,0.44744492199429514,299.9563984922742,7211659.725781922,18587945.80182672,2.984560296163646,-3.956226273115868e-05,0.4503057078397572,0.4083037317477223,299.49519643573575,300.67581989696055,299.74196979384806,0.46939164089335117,0.0
2002-01-19,26.041,6.529,445.562375,74.2503,20.7675,231.692,,2.156,0.4641649930357532,299.6451257475535,6204999.943206333,18749842.589566533,2.9694202316431877,-4.8207400698156636e-05,0.4508314647623503,0.4093407076088161,299.84279063352875,300.6597572006387,299.7886634115602,0.46617102280415135,4.375
2002-01-20,22.57,1.136,56.7190869565,75.9425,24.5733,29.611,,7.3209,0.4717654095832011,298.08807686047675,2961259.057555131,19056464.252897263,2.954213776566729,-4.379669777801539e-05,0.4732909161578475,0.41046050216752633,299.08631524659415,300.6441607593618,299.792385026945,0.4705335799653987,4.875
2002-01-21,24.424,3.746,474.234375,73.949,25.46,246.602,,1.80556,0.4789494848889342,298.47195707351665,4720246.470251231,18974382.51282553,2.93907371204627,-3.562427819846213e-05,0.4793849719161533,0.4122591956293513,298.52078013390786,300.62772841940074,299.68355355639113,0.4760330351796791,34.5
2002-01-22,25.637,5.649,394.281125,74.013,12.7576,205.026,,2.56707,0.4613197429545921,299.5308623260617,7078207.556506439,18678201.37208133,2.923867256969812,-4.398498391538748e-05,0.47327153341415745,0.4140048207994997,299.2464000366671,300.61046438125146,299.6250670113388,0.4759514892838565,0.625
2002-01-23,25.66,5.807,532.084291667,108.111,35.5587,276.684,,3.01889,0.44360425706619133,299.5825077640715,7383128.983689993,18580390.160481203,2.908657784140809,-4.751835355713551e-05,0.46061460178454244,0.4162036706222998,299.5504305975183,300.59257446921305,299.6455687061664,0.4770590308143934,0.125
2002-01-24,26.123,6.547,462.074625,96.8937,23.8968,240.279,,1.61766,0.46007856902805844,299.505521207469,6947526.944856345,18517907.29614208,2.8934483113118046,-4.180967811553578e-05,0.45464411101726093,0.41787692994016196,299.51201604969134,300.5757430821415,299.67316209378646,0.47307899803718684,0.0
2002-01-25,25.755,5.065,401.462416667,87.6022,16.0437,208.761,,2.6322,0.46107187046768283,299.7708582097876,7762398.2789811045,18804861.396091606,2.878238838482801,-5.4741330273770074e-05,0.4678546622635235,0.41912564292461174,299.6461657202686,300.55969298730736,299.70046956385175,0.4718908002024181,0.4375
2002-01-26,25.487,4.507,358.63325,85.637,13.5732,186.489,,2.62499,0.4640297349673788,299.3098921410912,6159820.214686446,18842410.643990528,2.8631681822708877,-4.860800950107593e-05,0.4691905573012875,0.4205282003505885,299.6168443634027,300.5442477638828,299.7363639349057,0.47401306920751923,0.125
2002-01-27,25.705,4.659,385.120375,80.5242,18.5291,200.263,,2.79514,0.4712569841654724,299.60758077521837,7001054.738512944,18874922.79765911,2.8479647449469745,-5.265015232253149e-05,0.46668594339008634,0.42206342850575657,299.47964875278575,300.53009629319547,299.738210681079,0.4731012378269566,0.0625
2002-01-28,25.907,6.625,497.573318182,78.6757,13.7939,251.108,,1.99612,0.4693561252402825,299.9287039861006,7007683.102231492,18927537.536483336,2.8327552721179714,-3.8404503290721924e-05,0.4643509284861734,0.42322396235908727,299.80276943601046,300.51586921358194,299.7638870149304,0.4706661291124268,0.5625
2002-01-29,26.227,6.357,448.433166667,94.0539,12.3242,233.185,,3.04231,0.4767062539781715,299.797490216083,7428292.016079606,18743317.262949955,2.8176152075975125,-4.6689093335092625e-05,0.47128873930573745,0.4241799956742906,299.8542826417372,300.50329292885715,299.80701369396763,0.4688922834803862,0.125
2002-01-30,,,,,,,,,0.4688489074838786,299.7133640574945,6622019.189045659,18709683.211020976,2.8024087525210546,-6.691182570645781e-05,0.47101616947259584,0.425042221403197,299.7881868586042,300.4909980773577,299.83793028726507,0.4680934302318544,0.25
2002-01-31,,,,,,,,,0.4617946557705584,300.2398774317673,8154106.191325921,18582038.6640475,2.78719927969205,-5.5590620935958956e-05,0.46522345480759664,0.42581278371920755,299.90142776861575,300.47879983726386,299.8612911576402,0.4664058749841206,0.375
2002-02-01,,,,,,,,,0.466829697748861,299.9751759433945,7100580.371072828,18791856.53462417,2.771989806863047,-4.1561300657725805e-05,0.4615907046425595,0.4264450468508489,300.0872245323939,300.46867244164883,299.91340783454655,0.4643123694404552,0.25
2002-02-02,25.77,4.333,383.427541667,88.9221,15.9475,199.382,,1.69798,0.4685977139283261,299.89694814861633,7993155.495490107,18693724.780663934,2.7567803340340435,-4.809122414531008e-05,0.47016635730393436,0.4270196853223364,299.83828308856147,300.45891468967295,299.93649216171303,0.4633204748167213,2.0
2002-02-03,26.555,6.705,474.834708333,95.845,23.4088,246.914,,2.16957,0.4570920225718991,300.02088329797226,6753017.027170949,18956775.578902192,2.741570861205039,-4.548726692633482e-05,0.4677386686567533,0.42766561755940957,300.03740165602994,300.4498038140657,299.9633730990327,0.46667453164454,0.75
2002-02-04,26.401,7.982,567.989583333,100.486,29.2815,295.355,,1.73424,0.45236553806207563,299.7941438379616,7584250.568963665,18799206.1130239,2.7265002049931257,-6.343454129711851e-05,0.4625480304676268,0.4287017893554779,299.8633088889611,300.4411927974706,299.98228115503053,0.4701706265963553,0.0
2002-02-05,25.719,4.368,435.119875,96.978,24.3766,226.262,,1.10496,0.450170915519635,300.29473022922275,7173158.449371405,19021090.11387053,2.711296767669213,-5.528215215771116e-05,0.4533503128759488,0.42968006846971746,300.11801307283207,300.43296402600237,300.00223913778683,0.46872919168874083,10.625
2002-02-06,25.165,4.302,452.588333333,105.053,14.7302,235.346,,1.42052,0.4625654456110937,299.19625430363993,5718641.668341476,18987936.875481725,2.6960872948402095,-4.654888025407088e-05,0.47028719659662716,0.4305238007030396,299.78429296456073,300.42529812098473,300.02213150012074,0.46880806880979115,0.375
2002-02-07,25.408,5.101,443.039875,114.739,20.0664,230.381,,-0.345274,0.4651703710886253,299.5695988870454,7008901.919741453,18693266.86300663,2.680947230319751,-6.118712591274132e-05,0.4668458510255295,0.43177492588256555,299.49320485955593,300.41800606010224,299.9782033144956,0.47086747334247625,4.625
2002-02-08,23.769,1.149,150.450142857,83.6876,21.6798,115.419,,3.76765,0.45896450145595696,298.9921351681412,4393636.7698425,19233586.802742433,2.6657407752432927,-4.0067029822836984e-05,0.46561868106565196,0.43493945780087384,299.5978434993454,300.4095042564005,299.9560189245506,0.47887439072067095,34.125
2002-02-09,23.917,2.848,362.815583333,75.2072,17.7439,188.664,,0.490593,0.4767150095227761,297.764093836838,3623193.8383753225,18875289.131784953,2.6506007107228338,-5.059903525158471e-05,0.47453565172919415,0.4408801582302211,298.56012631540995,300.40068321501036,299.85761172681265,0.4861604423797934,17.0
2002-02-10,25.486,5.907,528.12326087,115.099,42.1888,265.275,,0.13717,0.46268319259025886,298.95641729840054,4861044.936847021,18558433.00881348,2.6353942556463754,-2.9054293830585985e-05,0.4653346027284444,0.4436096909697868,298.79325230134384,300.38943848748585,299.71911982533305,0.48261749560419637,0.0
2002-02-11,23.173,1.011,259.014625,64.2367,8.41475,134.688,,2.15376,0.46823934043020027,297.76583157028386,2725843.620699845,19053968.601664957,2.6201847828173723,-2.3117271371322223e-05,0.47262826860794327,0.4478492578270579,298.75184759992476,300.37605990804417,299.64907939876485,0.48659070817920674,6.375
2002-02-12,23.908,1.871,351.805791667,97.6043,11.1478,182.939,,1.12891,0.4781974137989329,297.8080038785376,3578114.2866370757,18961927.152546864,2.6050447182969134,-2.6061746072778898e-05,0.46677891998872467,0.4579453663076843,298.06208164704697,300.3612195560292,299.505970631852,0.48933569129786275,5.0
2002-02-13,24.764,4.036,453.0415,95.3169,24.3607,235.581,,1.01153,0.4685940909443518,298.9896229020738,6296845.355840442,18885844.13378581,2.589838263220455,-3.4081934307222905e-05,0.4639578222157092,0.4604374318430811,298.66711356464396,300.3444553768921,299.3975703812168,0.48454257180667176,13.25
2002-02-14,24.83,3.412,308.578416667,83.3703,9.38754,160.461,,0.288014,0.47291661274103935,298.9183261812681,6243250.777662749,18881997.625464454,2.574628790391451,-3.490318235320745e-05,0.47333180163281874,0.4616247678639252,299.0571221985578,300.32649405642337,299.3836822875327,0.4817596327801419,1.125
2002-02-15,24.594,2.238,344.104565217,67.1583,2.11889,172.32,,1.49613,0.4556398098288617,298.6562362580168,5593003.288033955,18786338.62685366,2.559419317562448,-3.899339823101324e-05,0.4625374305296713,0.46442050195724893,298.8886303908294,300.30920901579464,299.37475322291294,0.4875007603765877,1.375
2002-02-16,24.855,2.495,357.765,77.8386,8.49024,179.695,,2.38515,0.47359078967559287,299.40461350874654,7355263.142263647,18889209.828566995,2.561284288635528,-3.869694771685305e-05,0.46671441179488116,0.4660144268592714,299.11514010407626,300.2915711335102,299.36274937278637,0.4834320649708322,9.625
2002-02-17,24.898,2.679,333.96,69.753,15.4426,173.659,,0.906345,0.4640575111778486,299.1052765103222,6370325.025173783,19061363.971830416,2.5638222185262403,-3.781961443845974e-05,0.4653894195504429,0.4693906959009357,299.2754368826502,300.27467253850426,299.39120520024375,0.4868113268937233,17.5625
2002-02-18,25.154,2.523,365.701291667,97.3548,16.5711,190.165,,2.43663,0.46417616390300737,298.77320061377867,5001208.95049242,19058524.88235513,2.5664265389729533,-3.48751397370031e-05,0.46567440645376096,0.47354690801724014,299.034578895077,300.2582359980473,299.4023325490139,0.48855789171697966,2.75
2002-02-19,25.149,2.376,412.740272727,88.2133,7.74146,201.739,,1.05927,0.4676062239806889,299.229430117597,6595021.546393531,19123961.315583866,2.5691032854807556,-3.6838122871307504e-05,0.4554060951285767,0.47750585618064595,299.12999603507586,300.2423455220574,299.39353941241205,0.4828793320624196,0.6875
2002-02-20,25.077,2.679,330.316083333,86.7711,14.1083,171.764,,3.1272,0.4661443499470533,298.56476196942884,4753104.454629331,19091884.183689725,2.571644233124014,-4.069197955539101e-05,0.47597633472503253,0.4790459087259664,299.01340235956275,300.22645504606743,299.4007529717033,0.481287259645431,19.6875
2002-02-21,25.544,3.378,425.981454545,100.562,10.6513,207.445,,1.62311,0.4605278190408734,299.2996941282406,6285592.164036154,19161487.667599928,2.574179145262181,-4.2162213862104757e-05,0.4691772316650005,0.48069290191966546,299.0074889961157,300.2110812310732,299.3766187177784,0.4759064166432563,6.5
2002-02-22,,,,,,,,,0.45847841777273657,299.9633196363413,6962586.854362973,18999636.67162584,2.5767834657088935,-2.0921935131324577e-05,0.459926514383545,0.48090061871789436,299.5203449663201,300.19574522054205,299.4014419861385,0.4700410427546298,1.625
2002-02-23,,,,,,,,,0.4566485089503769,300.6917874267346,7745084.391887564,18843853.084611036,2.579321395599606,-3.8708965980940565e-05,0.45357594012671604,0.48065779108022294,300.1746140025812,300.18182057663336,299.4965166038531,0.46247951423289196,0.0
2002-02-24,,,,,,,,,0.46855604961262154,300.76894279172905,7540222.873432644,19061318.180064686,2.5819257160463187,-3.009187063014691e-05,0.45637371803622945,0.48023056453005913,300.43339617577277,300.17068086150636,299.63160561771383,0.45596533154404734,5.125
2002-02-25,,,,,,,,,0.47300084711844215,300.1352956680451,5877455.259502289,19222871.529561523,2.584463645937031,-4.1709525914805937e-05,0.4772101675030535,0.47978243228923495,300.2855899828196,300.1619144265629,299.7532049475979,0.4547812851367023,0.375
2002-02-26,,,,,,,,,0.4562771530930097,299.7271964157232,6373296.936362453,19263214.07517,2.5871373746922885,-5.817855380281755e-05,0.4751574138041272,0.4796058060053216,299.88050227211573,300.1552440390736,299.8078245749016,0.46767650830630286,8.875
2002-02-27,,,,,,,,,0.46733510401327777,299.73663975576306,6423619.0730065545,19089548.803637475,2.589678322335547,-5.3162931590268154e-05,0.47175786227411115,0.4798874967858875,299.70934387219137,300.1491575205144,299.81689425471217,0.47363973726991654,0.875
2002-02-28,,,,,,,,,0.4540903803491802,300.62618054172583,7593433.440614048,18799572.447149742,2.5922826427822594,-5.783002414427776e-05,0.46175818366225657,0.48000837456137296,300.1809848148987,300.1430836034429,299.84504072874967,0.47116963795281547,0.0
2002-03-01,,,,,,,,,0.4636520388880567,299.32991083038706,5293558.191580085,19077597.15278184,2.5948205726729716,-5.281039584369918e-05,0.4713826244704862,0.48000113797614435,299.98247431970924,300.13886630555925,299.9035085251099,0.47389000903745954,6.125
2002-03-02,,,,,,,,,0.45905990670061386,299.3309435405492,6581981.868649987,18880051.47542091,2.597424893119684,-4.145313628093763e-05,0.47325760206713025,0.4803372371567625,299.3987305105217,300.13404413626597,299.8694749617484,0.47928419591349614,4.625
2002-03-03,,,,,,,,,0.4665033272758416,298.99098329911425,4054504.9717286993,19146902.990214795,2.599962823010397,-2.7531980379492704e-05,0.47259374309574537,0.4807936780695159,299.42641732447254,300.12871370696877,299.8310354557398,0.4813818528845853,5.875
2002-03-04,23.49,2.603,271.349652174,71.543,16.9141,136.769,32.2022608696,3.50063,0.476434530180098,298.32881748710804,3411954.398155954,19071483.952056833,2.6024977351485643,-3.1053331757153144e-05,0.47111671745548805,0.482942407839066,298.81577329024555,300.1223457551843,299.7498301830172,0.48643028516233383,3.0
2002-03-05,24.05,4.157,405.416043478,78.5416,22.6917,204.557,134.660875,1.37863,0.45361546753321386,299.2698448325941,6779597.26656624,18818667.61345932,2.6051714639038215,-3.235931645466999e-05,0.4639033082490809,0.4855572273016742,298.9820447973589,300.1142724020644,299.6459343056626,0.4883117713768603,1.75
2002-03-06,23.694,3.597,340.538,59.9588,12.754,172.587,91.8612173913,1.43334,0.4678679845728331,298.820149206532,4076159.852693331,18752200.865501646,2.60771241154708,-4.066393693918669e-05,0.4648524569791539,0.4866810421855115,299.3097064974194,300.1055521725758,299.6234124392596,0.4822361573422766,23.375
2002-03-07,24.245,3.439,346.292217391,62.8135,15.071,177.724,105.74775,2.31248,0.4635339899935602,298.73335190338963,5358956.933861089,18836572.1938599,2.6103167319937923,-4.06038456187488e-05,0.4716236973451315,0.48745803702172524,298.81723489517304,300.0958532275426,299.5629104098049,0.48146191612775663,5.625
2002-03-08,25.472,5.047,424.357869565,80.3522,18.5206,216.783,125.656913043,2.16302,0.4616986466952391,299.6339347441624,7164142.539023754,18736997.999279156,2.61292407019305,-4.65328559019541e-05,0.4743148701643494,0.48752477441883363,299.3053049467027,300.0852049704359,299.5223007426841,0.47680075272253325,3.75
2002-03-09,25.451,5.869,530.964,95.1924,26.077,268.05,177.009,1.82873,0.46581979096602105,299.48737927029464,6116360.1875847215,18960873.941935062,2.6153925917752177,-4.436956836618999e-05,0.47609747687309545,0.48797960720153616,299.5606339387869,300.07495576043976,299.5462193866496,0.4838021350726019,0.125
2002-03-10,24.393,3.258,416.878565217,79.4135,17.1267,215.44,136.436125,0.321508,0.46009185330263097,298.88820877817574,4159857.553754009,19034552.892995268,2.6179938944693846,-3.266778523291786e-05,0.46890950751778143,0.49034570254962,299.3459230592104,300.0659456967341,299.5624088822908,0.48010528895179777,28.25
2002-03-11,24.042,2.088,231.940875,55.5181,4.65742,120.609,65.2704347826,3.64358,0.47019544986099854,298.3568297502547,3457568.22606295,18893056.336888347,2.6206012326686423,-3.159014755306505e-05,0.46916966028074664,0.4912671610687311,298.80088388737744,300.0562131477337,299.5177869950574,0.45998628553443033,6.125
2002-03-12,25.554,5.532,534.130217391,87.6918,39.8959,273.858,178.378208333,0.885521,0.4699608616486617,299.4235399084479,6217922.748037964,18868878.284582697,2.6232085708679,-2.9695267915256813e-05,0.4721682313006743,0.49028459360768945,298.97552336163284,300.0453296628566,299.4489183617464,0.45286925627755853,0.625
2002-03-13,25.181,4.353,414.683391304,86.4836,19.9102,207.339,135.657652174,2.56969,0.46275746376173227,299.2930212318086,5987132.139268416,18824391.584175617,2.625815909067158,-3.0264132415402218e-05,0.4716679142291744,0.4892194754707065,299.42734337950293,300.034173145746,299.4574068321014,0.45008661378155895,13.25
2002-03-14,24.717,3.612,416.392347826,94.9203,6.67654,210.366,132.488958333,1.87266,0.4587305170742826,299.4232420112857,5615192.445167337,18879158.53598917,2.6283538389578704,-4.388483171465767e-05,0.4682093059019778,0.48846338632515324,299.3778663791141,300.02397014120476,299.4742947165239,0.45407702512732473,0.75
2002-03-15,25.671,5.502,481.245869565,117.216,22.0876,246.336,147.491086957,0.146277,0.45774506543326926,299.3442992633184,5876069.480689595,18995767.26742162,2.6308887510960375,-4.285126100312598e-05,0.46994436431760905,0.48772766682691016,299.3594903232701,300.013746134184,299.48663135593546,0.4531168592703292,4.625
2002-03-16,24.36,2.149,306.4515,64.5457,13.6447,159.355,96.8624583333,2.49133,0.4544994756229464,299.06957850039237,6138382.383415368,19040345.551360164,2.6420302934937925,-4.7790767543120615e-05,0.4741897908964745,0.487211725102277,299.26363804897983,300.00435802584735,299.4886421531648,0.4646901493360118,1.875
